移動,Move,Mov,Movement,,,
座標,Pos,Point,Position,,,
ボタン,Button,But,Bt,,,
取得,Get,get,,,,
選択,Select,Sel,,,,
初期化,Init,Initialze,,,,
画像,Image,Img,Graphic,Gra,,
ポリゴン,Polygon,Poly,Pol,,,
番号,No,Num,Number,,,
表示,Disp,Display,Paint,,,
設定,Set,Setting,,,,
色,Color,Col,,,,
情報,Information,Info,,,,
角度,Rot,Rotate,Rotation,,,
状態,State,St,,,,
作成,Make,Making,Create,Edit,,
文字,String,Str,Text,Txt,,
時間,Time,Clock,,,,
開放,Release,Free,,,,
削除,Clear,Delete,Deletion,Del,Cls,Remove
描画,Draw,,,,,
パターン,Pat,Pattern,,,,
頂点,Vertex,,,,,
拡大,Scale,Scaling,,,,
スプライト,Sprite,Sp,,,,
プリミティブ,Primitive,,,,,
フラグ,Flag,Flg,Flagment,,,
キャンバス,Canvas,,,,,
ヘッダ,Header,,,,,
ポインタ,Pointer,,,,,
半径,Radius,Rad,,,,
